country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
United Kingdom,4396096.0,127438.0,0.5,3.33,1.1037100737100731,0.1819081226322606,60.0,4077.0,1270.2938005390836,1324184.8945290302,770.0,39249.0,11801.80585106383,103861260.72220571,,,,,694.0,28791.0,8430.777777777777,57252498.402515724,11896.0,1893830.0,345424.11315789475,110747171999.14554,155174.0,136363617.0,37010108.60789473,1356801597160808.2,0.002,0.3,0.04557640750670246,0.003273309334371123,3.3,577.9,87.43404825737262,9792.186391363251,32444439.0,8513864.0,40958303.0,67886004.0,40.8,18.517,12.527,39753.244,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
United States,31495649.0,565289.0,0.73,3.67,1.1700987654320971,0.30987672289451174,7779.0,30028.0,15369.266159695817,48791766.37927034,25322.0,129800.0,61000.37642585552,1107896252.731809,,,,,21481.0,116374.0,55422.36842105263,945541117.4822193,372.0,2307390.0,965972.1100244499,340776008225.5489,372.0,395082593.0,145704988.46699268,1.6525213305421596e+16,0.038,0.199,0.07811910669975185,0.0014089012011900786,5.0,26.3,15.30843672456574,32.26719232621014,125822868.0,78498290.0,198317040.0,331002647.0,38.3,15.413,9.732,54225.446,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
Uruguay,156499.0,1726.0,0.61,1.51,1.1120822622107973,0.03301189012270425,,,,,,,,,,,,,,,,,145.0,19414.0,3828.0580204778157,14352976.458950862,2926.0,1594213.0,391480.87009063445,164017570485.71945,0.0,0.268,0.04665251989389919,0.003196876276877928,3.7,2412.6,117.27055702917772,60907.721710593214,996581.0,253203.0,1249784.0,3473727.0,35.6,14.655,10.361,20551.409,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
Uzbekistan,85730.0,634.0,0.76,1.67,1.0655118110236232,0.039067434728553646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256958.0,,256958.0,33469199.0,28.2,4.469,2.873,6253.104,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
Vanuatu,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307150.0,23.1,4.394,2.62,2921.909,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
Vatican,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809.0,,,,,,,,,,,75.12,
Venezuela,179365.0,1853.0,0.61,2.26,1.097545691906006,0.0586997197654231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000.0,,250000.0,28435943.0,29.0,6.614,3.915,16745.022,204.85,6.47,,,,0.8,72.06,0.711
Vietnam,2758.0,35.0,0.22,1.91,0.8278552971576223,0.13021740905865503,,,,,,,,,,,,,,,,,10.0,92374.0,5753.293103448276,162909431.40381125,856.0,2482302.0,487795.8941176471,290181270135.04816,0.0,0.016,0.0014893617021276603,7.580243161094222e-06,63.0,44258.7,4957.93306451613,67907470.85784094,58037.0,,58037.0,97338583.0,32.6,7.15,4.718,6171.884,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
World,139076606.0,2985817.0,0.57,3.56,1.1641834451901552,0.16727550887330606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478106792.0,189647946.0,860454488.0,7794798729.0,30.9,8.696,5.355,15469.207,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
Yemen,5657.0,1097.0,0.36,1.83,0.9595195195195199,0.11291000940699741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29825968.0,20.3,2.922,1.583,1479.147,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
Zambia,90532.0,1230.0,0.65,1.58,0.9833045977011484,0.04560259283182614,,,,,,,,,,,,,,,,,17.0,14995.0,3616.200564971751,10778288.574390624,33.0,1327186.0,400035.30623306235,180280668342.66406,0.0,0.301,0.06784974093264252,0.004618590350582062,3.3,545.5,48.96832460732979,3649.3130360308337,106.0,,106.0,18383956.0,17.7,2.48,1.542,3689.251,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
Zimbabwe,37422.0,1550.0,0.6,1.71,1.0775077881619948,0.07870376947040501,,,,,,,,,,,,,,,,,96.0,5055.0,1344.807121661721,1021704.3882824646,7808.0,462372.0,176032.2815249267,18602785130.614635,0.001,0.287,0.06338575667655787,0.0031886900346191913,3.5,1125.9,44.10326409495554,9682.12781669492,252932.0,32949.0,285881.0,14862927.0,19.6,2.822,1.882,1899.775,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
