country,#q3,#q4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11_min,q#11_max,q#11_avg,q#11_var,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14_var,q#15_var,q#16_var,population,median_age,#aged_65_older,#aged_70_older,economic_performance,death_rates_due_to_heart_disease,diabetes_prevalance,#of_female_smokers,#of_male_smokers,handwashing_facilities,hospital_beds_per_thousand_people,life_expectancy,human_development_index
Iraq,956860.0,14885.0,0.67,1.97,1.1206313131313137,0.05944896752333458,,,,,,,,,,,,,,,,,698.0,53021.0,21802.076124567473,171507911.202518,26331.0,8690527.0,2844811.5623003193,6154079681419.631,0.009,0.215,0.11282016348773842,0.004714530411995054,4.7,110.9,18.903269754768406,406.8113553997106,152962.0,,152962.0,40222503.0,20.0,3.186,1.957,15663.986,218.612,8.83,,,94.576,1.4,70.6,0.674
Ireland,242402.0,4820.0,0.44,2.87,1.0888354430379743,0.1880255439182679,4.0,221.0,62.951742627345844,3558.798740234659,6.0,2020.0,398.1725888324873,205871.26275816647,0.995,136.265,25.878509090909088,976.0491431063971,3.979,728.071,139.10420967741936,25954.09311636515,946.0,29972.0,10776.722646310433,39731334.9764501,6457.0,4241709.0,1559502.4568527918,1662418794052.9153,0.001,0.255,0.04832041343669244,0.002579757172885621,3.9,683.0,75.61679586563311,14363.0733700178,769721.0,325243.0,1094964.0,4937796.0,38.7,13.928,8.678,67335.293,126.459,3.28,23.0,25.7,,2.96,82.3,0.955
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48205.0,15469.0,63674.0,85032.0,,,,,,,,,,,81.4,
Israel,836902.0,6315.0,0.41,2.94,1.0847727272727268,0.2237034925201381,99.0,420.0,225.03813559322035,8204.487901190041,10.0,2390.0,914.9579207920792,344818.5416492646,5.0,1184.0,375.3859649122807,109350.45551378443,22.0,1985.0,763.859649122807,293337.4799498747,13.0,126327.0,37070.73871733967,960125497.3887123,29.0,15606781.0,4955457.1520190025,24491621324032.332,0.003,0.13,0.04605314009661838,0.0009788688399948527,7.7,347.9,48.631884057971035,3758.840627434465,5339078.0,4961423.0,10300501.0,8655541.0,30.6,11.733,7.359,33132.32,93.32,6.74,15.4,35.4,,2.99,82.97,0.919
Italy,3826156.0,115937.0,0.63,3.55,1.134048192771084,0.21335217158489037,26.0,4068.0,1618.0960591133005,1847336.2154412211,127.0,38507.0,15981.211822660098,157141820.547613,,,,,335.553,18463.511,5984.629879310342,28570786.21521133,-47510.0,378463.0,130289.82211538461,10688543718.888763,4324.0,54204890.0,16430667.086330935,235062381518883.5,0.004,0.268,0.06715121951219515,0.003926417174548269,3.7,272.2,57.17317073170728,5036.468227085693,10025605.0,4234230.0,14259835.0,60461828.0,47.9,23.021,16.24,35220.084,113.151,4.78,19.8,27.8,,3.18,83.51,0.892
Jamaica,43240.0,697.0,0.64,1.85,1.0905234159779622,0.05305801257172426,,,,,,,,,,,,,,,,,34.0,2976.0,639.4316239316239,174669.07041194383,148.0,310238.0,80837.5,4846907718.394265,0.006,0.29,0.10382105263157888,0.005886047049020964,3.5,159.3,28.036315789473676,1199.6941921955297,135473.0,,135473.0,2961161.0,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734
Japan,521796.0,9506.0,0.43,2.03,1.102589928057554,0.1017336607636967,,,,,,,,,,,,,,,,,4.0,103676.0,23411.475750577367,606957663.587952,4.0,10137169.0,2687051.722863741,8962830825094.055,0.007,0.204,0.05467832167832163,0.0013654617018495512,4.9,138.0,29.183682983682964,535.480106964687,1175324.0,678405.0,1853729.0,126476458.0,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,,13.05,84.63,0.919
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45585.0,25274.0,70859.0,101073.0,,,,,,,,,,,,
Jordan,679138.0,8057.0,0.62,1.84,1.1203359173126621,0.09889859153043867,,,,,,,,,,,,,,,,,9583.0,54052.0,27505.807228915663,96939054.94443232,78885.0,6426320.0,3830362.4071856285,1739053827363.6501,0.039,0.247,0.12581250000000008,0.003632417452830184,4.0,25.4,10.754374999999996,42.27230778301887,543095.0,122131.0,665226.0,10203140.0,23.2,3.81,2.361,8337.49,208.257,11.75,,,,1.4,74.53,0.729
Kazakhstan,333046.0,3282.0,0.73,1.7,1.0779634464751964,0.032697935833116906,,,,,,,,,,,,,,,,,207.0,68801.0,23914.997442455242,176403932.53076255,126.0,9401901.0,3574216.812658228,7500780659116.213,0.005,0.228,0.03650765306122446,0.0013706393274701186,4.4,203.0,46.540051020408185,847.6383150869049,338582.0,105392.0,443974.0,18776707.0,30.6,6.991,4.625,24055.588,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825
